"","Raw.genus","Raw.species"
"6898","Myrmecia","Myrmecia browningi"
"6899","Azteca","Azteca jelskii"
"6900","Pheidole","Pheidole californica"
"6901","Pheidole","Pheidole sculpturata"
"6902","Polyrhachis","Polyrhachis nigropilosa"
"6903","Tetraponera","Tetraponera penzigi"
"6904","Tapinoma","Tapinoma minutum"
"6905","Aphaenogaster","Aphaenogaster gemella"
"6906","Tetramorium","Tetramorium bicolorum"
"6907","Strumigenys","Strumigenys cordovensis"
"6908","Pheidole","Pheidole tayrona"
"6909","Aenictus","Aenictus hodgsoni"
"6910","Bothriomyrmex","Bothriomyrmex paradoxus"
"6911","Messor","Messor meridionalis"
"6912","Pheidole","Pheidole subnuda"
"6913","Atta","Atta sexdens"
"6914","Pheidole","Pheidole paraensis"
"6915","Usomyrma","Usomyrma mirabilis"
"6916","Pyramica","Pyramica mirabilis"
"6917","Myrmica","Myrmica tulinae"
"6918","Carebara","Carebara polita"
"6919","Leptogenys","Leptogenys suarensis"
"6920","Monomorium","Monomorium dichroum"
"6921","Meranoplus","Meranoplus hilli"
"6922","Cardiocondyla","Cardiocondyla cristata"
"6923","Dorylus","Dorylus fulvus"
